item,itemLabel,position,positionLabel,start,psid
Q110786495,Tomás Vaquero,Q110786497,Secretary of the Interior,2022-01-27,Q110786495-3E43E016-3AC1-4983-B1B5-04197C4AA45B
Q110786692,Eduardo Enrique Reina,Q110786693,Secretary of Foreign Affairs,2022-01-27,Q110786692-72F1A7FB-0399-45FE-BB6B-264BAB01DF48
Q110787162,Daniel Esponda,Q110787163,Secretary of Public Education,2022-01-27,Q110787162-5179A556-6212-41C4-B5CE-8E628019D2BD
Q110787179,José Manuel Matheu,Q110787183,Secretary of Health,2022-01-27,Q110787179-67CB7911-1352-4758-96C2-A2CA7E918429
Q110787218,Laura Suazo,Q110787222,Secretary of Agriculture,2022-01-27,Q110787218-041636E4-B3BF-4F40-B257-0ADDE189EFC6
Q110787596,Héctor Zelaya Castro,Q110787707,Private Secretary of the Presidency,2022-01-27,Q110787596-A6E01A41-4A23-42CF-B694-1EAE20277658
Q76760763,Rixi Moncada,Q110786428,Secretary of Finance,2022-01-27,Q76760763-2FD63B2F-F2F4-42E2-A6B9-3AD2ACBA4C54
