position,title
Q13341442,President
Q7925048,Vice President
Q110787222,Secretary of Agriculture
Q6123195,Secretary of Defence
Q110787163,Secretary of Education
Q110786428,Secretary of Finance
Q110786693,Secretary of Foreign Affairs
Q110787183,Secretary of Health
Q110786497,Secretary of the Interior
Q110787707,Private Secretary of the Presidency
Q7241350,President of the National Congress
