item,itemLabel,startDate,endDate,sourceDate,psid
Q654177,Carlos Roberto Flores,1998-01-27,2002-01-27,,Q654177-C8D990FB-F763-4B63-A610-74B12B426B57
Q441393,Ricardo Maduro,2002-01-27,2006-01-27,,Q441393-D225494E-FE5E-4701-B9F2-A0DD1C132901
Q191060,Manuel Zelaya,2006-01-27,2009-06-28,,Q191060-E632F284-4D53-4148-AACC-1806DDBF552F
Q299442,Roberto Micheletti,2009-06-28,2010-01-27,,Q299442-913ad086-4f96-d8d5-c293-db335db054c2
Q4737,Porfirio Lobo Sosa,2010-01-27,2014-01-27,,Q4737-5654A45D-2A9B-4EFC-AEDA-D9B6C4738AA0
Q5951723,Juan Orlando Hernández,2014-01-27,2022-01-27,,Q5951723-1AE2DAC6-B7A3-4CA5-AD5D-98F7B2E86D6E
Q8044708,Xiomara Castro,2022-01-27,,,Q8044708-6963B782-BFC1-43DB-8042-975390941A3E
